City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,carnarvon,-24.8667,113.6333,85.05,37,0,13.71,AU,1671240299
84,nishihara,26.1842,127.7558,70.88,86,75,23.02,JP,1671240300
85,puerto ayora,-0.7393,-90.3518,71.55,96,40,6.85,EC,1671240301
86,castro,-24.7911,-50.0119,60.19,89,32,3.6,BR,1671240303
87,bilibino,68.0546,166.4372,-3.84,99,37,4.9,RU,1671240304
88,micheweni,-4.9667,39.8333,79.68,78,76,7.81,TZ,1671240305
89,tutoia,-2.7619,-42.2744,79.45,77,10,10.18,BR,1671240307
90,miraflores,19.2167,-98.8083,63.25,64,60,4.52,MX,1671240308
91,oktyabrskoye,43.0645,44.7417,28.54,100,0,4.47,RU,1671240310
92,ano mera,37.45,25.4,62.67,93,100,15.82,GR,1671240311
93,hami,42.8,93.45,16.11,43,0,3.8,CN,1671240312
94,dunedin,-45.8742,170.5036,59.27,82,97,6.17,NZ,1671240124
95,hithadhoo,-0.6,73.0833,80.55,73,56,10.11,MV,1671240315
96,lorengau,-2.0226,147.2712,84.34,69,60,4.56,PG,1671240316
97,mehamn,71.0357,27.8492,26.51,68,100,6.91,NO,1671240318
98,kyra,49.5776,111.9753,-9.08,80,100,5.08,RU,1671240319
99,la ronge,55.1001,-105.2842,1.65,85,100,3.44,CA,1671240320
100,bredasdorp,-34.5322,20.0403,66.43,95,100,8.52,ZA,1671240322
101,aripuana,-9.1667,-60.6333,72.66,98,99,2.04,BR,1671240323
102,butaritari,3.0707,172.7902,81.48,78,11,8.9,KI,1671240324
103,bambanglipuro,-7.95,110.2833,81.72,76,52,5.39,ID,1671240326
104,gornopravdinsk,60.05,69.9,7.97,93,100,8.84,RU,1671240327
105,vostok,46.4856,135.8833,-9.17,87,41,3.51,RU,1671240328
106,grand gaube,-20.0064,57.6608,76.37,70,22,5.01,MU,1671240330
107,victoria,22.2855,114.1577,56.32,72,100,1.99,HK,1671240331
108,nelson bay,-32.7167,152.15,66.0,80,100,8.01,AU,1671240332
109,cabo san lucas,22.8909,-109.9124,70.52,57,75,3.44,MX,1671240127
110,sosnovo-ozerskoye,52.5249,111.5418,-12.78,97,100,3.87,RU,1671240335
111,lasa,46.6166,10.7002,36.48,93,100,6.17,IT,1671240336
112,kendari,-3.945,122.4989,82.58,75,100,4.29,ID,1671240337
113,aksarka,66.5606,67.7975,10.62,94,100,9.86,RU,1671240339
114,nioro,13.35,-15.75,72.57,16,0,3.8,GM,1671240340
115,tarrega,41.647,1.1396,47.48,94,24,0.94,ES,1671240342
116,makaha,21.4694,-158.2175,80.51,57,100,4.61,US,1671240343
117,nyurba,63.2842,118.3319,-44.37,100,61,2.68,RU,1671240344
118,ewa beach,21.3156,-158.0072,80.55,58,100,6.91,US,1671240346
119,kaili,-3.4626,120.2147,74.52,77,96,2.1,ID,1671240347
120,rangkasbitung,-6.3591,106.2494,82.71,69,93,1.68,ID,1671240348
121,arraial do cabo,-22.9661,-42.0278,73.24,90,91,17.0,BR,1671240350
122,tasiilaq,65.6145,-37.6368,19.56,58,0,4.0,GL,1671240351
123,bengkulu,-3.8004,102.2655,78.94,74,40,3.91,ID,1671240352
124,hamilton,39.1834,-84.5333,36.23,63,100,13.8,US,1671240171
125,inhambane,-23.865,35.3833,77.99,88,97,8.75,MZ,1671240195
126,lesnoy,57.6198,63.0784,19.65,91,100,9.66,RU,1671240356
127,araceli,10.5529,119.9913,82.36,81,98,17.56,PH,1671240357
128,gwadar,25.1216,62.3254,70.92,26,0,7.05,PK,1671240359
129,araouane,18.9048,-3.5265,69.24,15,0,6.64,ML,1671240070
130,padang,-0.9492,100.3543,78.85,79,36,2.33,ID,1671240361
131,presidente bernardes,-22.0061,-51.5531,73.78,53,86,8.08,BR,1671240220
132,airai,-8.9266,125.4092,68.63,72,93,1.88,TL,1671240364
133,calabazar de sagua,22.6447,-79.8961,72.07,88,34,1.14,CU,1671240365
134,jumla,29.2747,82.1838,38.44,26,0,5.35,NP,1671240366
135,camana,-16.6228,-72.7111,69.57,85,18,3.85,PE,1671240368
136,carndonagh,55.25,-7.2667,36.25,96,100,5.95,IE,1671240369
137,slavonice,48.9975,15.3515,26.62,90,100,9.08,CZ,1671240370
138,kaitangata,-46.2817,169.8464,60.69,72,57,6.51,NZ,1671240372
139,walvis bay,-22.9575,14.5053,66.09,94,56,1.14,NA,1671240373
140,punta alta,-38.8759,-62.0736,74.53,38,78,13.35,AR,1671240374
141,thompson,55.7435,-97.8558,3.36,85,100,12.66,CA,1671240376
142,superior,46.7208,-92.1041,30.7,92,100,5.75,US,1671240173
143,cape town,-33.9258,18.4232,68.11,91,75,16.11,ZA,1671240179
144,sao filipe,14.8961,-24.4956,75.85,71,6,9.31,CV,1671240379
145,diglur,18.55,77.6,70.23,72,1,0.47,IN,1671240381
146,port blair,11.6667,92.75,82.44,74,75,9.22,IN,1671240382
147,port elizabeth,-33.918,25.5701,70.09,88,75,9.22,ZA,1671240383
148,vestmannaeyjar,63.4427,-20.2734,31.62,86,100,32.82,IS,1671240385
149,avarua,-21.2078,-159.775,78.85,94,75,13.8,CK,1671240377
150,troitsko-pechorsk,62.7084,56.1964,19.42,90,100,9.35,RU,1671240387
151,walla walla,46.0646,-118.343,29.48,86,100,6.91,US,1671240389
152,kaka,37.3482,59.6143,48.2,44,100,1.25,TM,1671240390
153,barrow,71.2906,-156.7887,-11.18,84,75,6.91,US,1671240391
154,ponta do sol,32.6667,-17.1,63.23,76,28,1.88,PT,1671240393
155,darasun,51.6667,114.0,-18.31,98,16,3.18,RU,1671240394
156,la plaine,15.3333,-61.25,76.64,81,2,15.86,DM,1671240395
157,ulaanbaatar,47.9077,106.8832,-11.07,70,40,6.71,MN,1671240305
158,kosa,59.9445,54.9977,19.45,90,100,10.25,RU,1671240398
159,atar,20.5169,-13.0499,71.17,35,0,8.48,MR,1671240399
160,torbay,47.6666,-52.7314,36.57,91,100,20.0,CA,1671240400
161,bethel,41.3712,-73.414,39.54,87,100,6.91,US,1671240364
162,rio gallegos,-51.6226,-69.2181,66.25,42,75,11.5,AR,1671240322
163,naze,28.3667,129.4833,58.12,88,100,28.3,JP,1671240404
164,matara,5.9485,80.5353,75.04,87,100,3.11,LK,1671240405
165,abalak,58.1286,68.5944,-0.36,94,99,6.91,RU,1671240407
166,kasempa,-13.4584,25.8338,63.09,86,100,2.62,ZM,1671240408
167,punto fijo,11.6956,-70.1996,78.58,81,1,23.64,VE,1671240409
168,saint-pierre,-21.3393,55.4781,78.57,68,0,5.75,RE,1671240411
169,katete,-0.7818,29.7544,58.46,88,89,3.74,UG,1671240412
170,lagoa,39.05,-27.9833,63.16,91,100,27.98,PT,1671240413
171,clarksburg,39.2807,-80.3445,38.84,76,100,7.16,US,1671240131
172,port lincoln,-34.7333,135.8667,66.51,68,100,15.23,AU,1671240416
173,panzhihua,26.5851,101.7128,47.91,67,98,4.43,CN,1671240417
174,rawson,-43.3002,-65.1023,66.85,51,0,34.45,AR,1671240316
175,gat,31.61,34.7642,64.4,62,0,2.55,IL,1671240419
176,dakar,14.6937,-17.4441,75.33,94,0,9.22,SN,1671240421
177,yerbogachen,61.2767,108.0108,-0.47,98,100,5.48,RU,1671240422
178,anshun,26.25,105.9333,28.96,78,99,14.25,CN,1671240423
179,north bend,43.4065,-124.2243,45.86,86,0,4.61,US,1671240425
180,longyearbyen,78.2186,15.6401,6.64,66,75,6.91,SJ,1671240426
181,sangar,63.9242,127.4739,-52.56,96,33,3.42,RU,1671240148
182,taltal,-25.4,-70.4833,64.24,82,49,0.87,CL,1671240429
183,chokurdakh,70.6333,147.9167,-17.21,98,100,1.03,RU,1671240430
